authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
@pao68102,2023-06-25T05:54:20Z,2,"BAILANDO UNA BELLEZA
SIGUELO BAILANDO QUE LA MUSICA NO PARE HE HE HE,
COMO A MI ME GUSTA QUE LA NOCHE NO SE ACABE,
SIGUELO BAILANDO!! 😻💗","BAILANDO UNA BELLEZA
SIGUELO BAILANDO QUE LA MUSICA NO PARE HE HE HE,
COMO A MI ME GUSTA QUE LA NOCHE NO SE ACABE,
SIGUELO BAILANDO!!  emoji gato sonriendo con ojos de corazón emoji  emoji corazón creciente emoji"
@pao68102,2023-06-25T05:51:26Z,7,Yo solo vengo por los videos que le ponen a las coreografías a los idols y por qué es muy pegajosa la canción 🤗💗,Yo solo vengo por los videos que le ponen a las coreografías a los idols y por qué es muy pegajosa la canción  emoji cara con manos abrazando emoji  emoji corazón creciente emoji
@RXFZ88702T,2023-06-25T04:53:36Z,0,La mejor musica del mundo vamossss! Aguante Ozuna ❤❤😂🎉🐻🐻,La mejor musica del mundo vamosss! Aguante Ozuna  emoji cara llorando de risa emoji  emoji cañón de confeti emoji  emoji oso emoji  emoji oso emoji
@franciscodiaz3564,2023-06-25T02:14:34Z,0,Quién en 2023,Quién en 2023
@danielaromero1842,2023-06-24T20:24:50Z,0,🤩🤩🤩🤩🤩,emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con estrellas emoji
@cesiacrispin6989,2023-06-24T00:38:40Z,3,YO Y LOS SIGUE BAILANDO QUE LA MÚSICA NO PAREE HE - HE - HE - HE,YO Y LOS SIGUE BAILANDO QUE LA MÚSICA NO PAREE HE - HE - HE - HE
@nicolascedresalonso1220,2023-06-23T17:49:07Z,0,"Antes amaba esta canción, ahora me parece maso","Antes amaba esta canción, ahora me parece maso"
@jhojan2896,2023-06-22T21:56:35Z,3,top primens de cantantes que mas me gosé,top primens de cantantes que mas me gosé
@user-fz4vy5dv6z,2023-06-22T00:14:11Z,7,recuerdo q escuchaba esta musica todo el tiempo q recuerdos...,recuerdo q escuchaba esta musica todo el tiempo q recuerdos...
@nilusaki,2023-06-20T22:22:20Z,0,Este es reguetton de los God,Este es reguetton de los God
@juancarloscarrillocontrera4180,2023-06-20T17:57:38Z,0,Llegó el fin de semana y ella quiere salir,Llegó el fin de semana y ella quiere salir
@monicabolivar6890,2023-06-20T17:48:45Z,2,Quién en 2023?,Quién en 2023?
@user-gx8lj2ti8k,2023-06-20T16:12:23Z,0,temazo,temazo
@homeloshino5858,2023-06-19T03:01:07Z,0,Y llego al billon👻👻,Y llego al billon emoji fantasma emoji  emoji fantasma emoji
@OSIRIS37,2023-06-17T20:50:13Z,13,"Veía este video hace un par de años … y decía cuando iré a Japón?

Spoiler alert: ya tengo mi vuelo redondo para este 2024 abril","Veía este video hace un par de años  y decía cuando iré a Japón?

Spoiler alert: ya tengo mi vuelo redondo para este 2024 abril"
@sebas6363,2023-06-15T18:47:05Z,1,En el momento que salió la canción estaba de conquista con mi esposa actual me recuerda cuando llegaba a buscarla hace 5 años,En el momento que salió la canción estaba de conquista con mi esposa actual me recuerda cuando llegaba a buscarla hace 5 años
@judithlf5233,2023-06-15T07:57:45Z,0,vine por el video de seungmin en tiktok jaksjajajaj🫶🏼,vine por el video de seungmin en tiktok jaksjaja🫶🏼
@keziah6088,2023-06-15T05:28:39Z,6,TEMAZOOOOOO,TEMAZOOO
@anuellaa1975,2023-06-15T01:55:29Z,0,Alguien de INCOS RIBERALTA,Alguien de INCOS RIBERALTA
@nilzamendoza7345,2023-06-13T11:06:22Z,0,Ozuna la colaboración de Call of duty me gusta,Ozuna la colaboración de Call of duty me gusta
@TeComiElHoyo,2023-06-13T02:24:37Z,0,"Eso es mil millones , no un billon","Eso es mil millones , no un billon"
@adrianmorarivero732,2023-06-12T19:29:20Z,1,baila conmigo mujeerr,baila conmigo mujeerr
@alexanderpaul6624,2023-04-20T16:16:50Z,0,Alguien 2023?,Alguien 2023?
