,authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
10,@MarvinLopez1698,2024-02-10T18:32:41Z,0,"Musicalmente nada que envidiarle a Lili, excelente interpretación de Kim hermosa canción",musicalmente envidiarle lili excelente interpretación kim hermosa canción
11,@elsakanahui3295,2024-02-10T18:28:57Z,0,"Ay Padre nuestro cuanto juez , no sabia yo que el sexto ministerio era  hacerla de JUEZ.
La obra de Dios permanece la que no se derrumba , así de simple .
Bendiciones. 
Si el Padre recibe  la ofrenda quienes somos para estar de criticones  , hay que tener sabiduría.",ay padre cuanto juez sabia sexto ministerio hacerla juez obra dios permanece derrumba así simple bendiciones si padre recibe ofrenda criticones tener sabiduría
12,@bryansantosanaya6925,2024-02-10T17:30:54Z,0,"Waw que junte, que bendición",waw junte bendición
13,@jobisraelmamani4829,2024-02-10T16:52:56Z,0,"SHOW TOTAL
NADA DE ALABANZA Y ADORACIÓN, LOS QUE DICEN Y CREEN QUE JUZGAMOS ENTRE CRISTIANOS ES PORQUE NO LEEN SU BIBLIA, NO JUZGO PERO DIOS NO MERECE SER PROSTITUIDO DE ESA MANERA!!! QUE PENA",show total alabanza adoración dicen creen juzgamos cristianos leen biblia juzgo dios merece ser prostituido manera pena
14,@elviajero2257,2024-02-10T16:29:58Z,0,que lindo canta esta muchacha,lindo canta muchacha
15,@kratosferney,2024-02-10T16:19:20Z,4,"Cuando conocí a Dios, recuerdo que esta canción me gustó mucho. 
Oremos por Jesús Adrian Romero, que se ha alejado del verdadero cristianismo, y enseña un dios que no es el de la biblia. Oremos para que se arrepienta y vuelva a sus caminos y encuentre esa paz que tanto busca",conocí dios recuerdo canción gustó oremos jesús adrian romero alejado verdadero cristianismo enseña dios biblia oremos arrepienta vuelva caminos encuentre paz busca
16,@ElPastorDeLaFarandula,2024-02-10T16:12:42Z,0,Estos cantantes de hoy ya no dicen nada! 😢,cantantes hoy dicen emoji cara llorando emoji
17,@yobanrobinsonmarin8315,2024-02-10T15:45:46Z,1,Amen Bendiciones Nuevamente DIOS Siempre vida JESÚS Palabras Grandes Señor Todopoderoso Fe y Creen Hoy y Creen Bendiciones 😇🙏💕💕💕😊,amen bendiciones nuevamente dios siempre vida jesús palabras grandes señor todopoderoso fe creen hoy creen bendiciones emoji cara sonriendo aureola emoji emoji manos oración emoji emoji dos corazones emoji emoji dos corazones emoji emoji dos corazones emoji emoji cara feliz ojos sonrientes emoji
18,@Meri541,2024-02-10T15:28:49Z,0,Kien más le gusto,kien gusto
19,@poetamuertoful,2024-02-10T14:36:30Z,1,"Me alegra mucho regresar a mi infancia,  solo Jesús alegra romero a tenido muchas controversias,  que uno duda si lo así por amor o por fama",alegra regresar infancia solo jesús alegra romero muchas controversias duda si así amor fama
20,@Sebaebaa,2024-02-10T14:25:49Z,1,"Geniaaaaal, hermoso 😍🙌🏻",geniaaal hermoso emoji cara sonriendo ojos corazón emoji emoji manos levantadas celebrando tono piel claro emoji
21,@user-gz9cg4uy3y,2024-02-10T13:20:56Z,1,Me encantó felicitaciones Alex Campos gracias,encantó felicitaciones alex campos gracias
22,@Yair2R,2024-02-10T13:02:28Z,1,Cristo vive,cristo vive
23,@yinethcaro4099,2024-02-10T10:46:35Z,4,Muy lindo es como.ver tres generaciones de cantantes cristianos ❤,lindo comover tres generaciones cantantes cristianos
24,@EdgarEfrainRodriguez,2024-02-10T10:36:16Z,0,👍👍👍,emoji pulgar hacia arriba emoji emoji pulgar hacia arriba emoji emoji pulgar hacia arriba emoji
25,@anagonzalezmonroy3121,2024-02-10T04:05:04Z,1,Muchas bendiciones y felicidades para todos los siervos aunque somos criticado Dios es el único que perdona lo que somos éxitos,muchas bendiciones felicidades siervos aunque criticado dios único perdona éxitos
26,@jatnielalvarez,2024-02-10T03:27:08Z,0,Neiiiiii,neiii
27,@rutpereira2001,2024-02-10T03:23:29Z,1,"Que manera tienen de comparar voces 
Cada uno tiene un bello don dado por Dios.
Nadie es mejor que nadie.
Son diferentes registros vocales e igual asi cantan que se las pelan.",manera comparar voces cada bello don dado dios nadie mejor nadie diferentes registros vocales igual asi cantan pelan
28,@idelinablanco7492,2024-02-10T03:06:21Z,0,"Que hermosa versión,  siempre serán los mejores .",hermosa versión siempre mejores
29,@Alejandro_qyks,2024-02-10T02:33:35Z,1,Esta canción la he cantado 2 veces ya en mi iglesia desde que nuevamente estoy activando y cada que la canto se siente algo bonito y  diferente a la vez anterior ❤,canción cantado veces iglesia nuevamente activando cada canto bonito diferente vez anterior
30,@nilssobustamante4816,2024-02-10T02:24:36Z,13,Música que llena el alma. Admiración a estos salmistas del señor. Saludos desde Venezuela 🇻🇪,música llena alma admiración salmistas señor saludos venezuela emoji bandera venezuela emoji
31,@vanessajimenez621,2024-02-10T02:02:46Z,2,Esta precioso esa nueva  modificación y lo que más me gustó después de la presencia de Dios que se siente es ver ahí a Jesús Adrián romero con sus hermanos de la fe y también ver a un corazón eso es lo que Dios quiere ❤,precioso nueva modificación gustó después presencia dios ver ahí jesús adrián romero hermanos fe ver corazón dios quiere
32,@Martha_7,2024-02-10T00:39:51Z,5,"Wow, no esperaba esto...
Mil bendiciones para todos nosotr@s 💜",wow esperaba mil bendiciones nosotrusuario emoji corazón morado emoji
33,@ednagonzalez449,2024-02-10T00:30:38Z,0,"Bellisima , Dios les Bendiga grandemente 🙏 ❤",bellisima dios bendiga grandemente emoji manos oración emoji
34,@jorgeelieceroquendovega4394,2024-02-10T00:01:03Z,0,Kim richars es la mejor,kim richars mejor
35,@alberthcalvo8591,2024-02-09T23:57:01Z,1,La colaboracion con lili gooman  tambien fue genial,colaboracion lili gooman tambien genial
36,@alberthcalvo8591,2024-02-09T23:56:07Z,0,Muy bonito Gloria a Dios,bonito gloria dios
37,@alberthcalvo8591,2024-02-09T23:55:34Z,0,JEHOVA RAFA DIOS MI SANADOR,jehova rafa dios sanador
38,@elsamenendez4255,2024-02-09T21:57:36Z,0,Dios los Bendiga ❤️ 🙏 😢!!!!!!!!!,dios bendiga emoji manos oración emoji emoji cara llorando emoji
39,@carlosespinosa7091,2024-02-09T21:22:38Z,0,Jesus Adrian romero ya está desafinado y sin unción eso es el poco de canciones mundanas que pasa cantando,jesus adrian romero desafinado unción canciones mundanas pasa cantando
40,@orlandoordasjr3210,2024-02-09T20:58:20Z,0,🙏🏻🙏🏻🔥,emoji manos oración tono piel claro emoji emoji manos oración tono piel claro emoji emoji fuego emoji
41,@rosamirandagamboa5880,2024-02-09T20:46:19Z,1,Es hermoso este sentimiento q imspira para todo aquel q ocupa todo su amor ❤y sanaciol con el rey d reyes mi amado JESUS 😊,hermoso sentimiento q imspira aquel q ocupa amor sanaciol rey d reyes amado jesus emoji cara feliz ojos sonrientes emoji
42,@aleynariveraaya7242,2024-02-09T20:25:08Z,0,A mí me gusta mucho esta cancion,gusta cancion
43,@rocasjassay,2024-02-09T19:26:35Z,1,🙏🏻🙏🏻🙏🏻,emoji manos oración tono piel claro emoji emoji manos oración tono piel claro emoji emoji manos oración tono piel claro emoji
